股票代碼,行業類別
1102,水泥工業類
1216,食品工業類
1301,塑膠工業類
1303,塑膠工業類
1305,塑膠工業類
1310,塑膠工業類
1314,塑膠工業類
1326,塑膠工業類
1409,紡織纖維類
1440,紡織纖維類
1444,紡織纖維類
1504,電機機械類
2049,電機機械類
1605,電器電纜類
1609,電器電纜類
1909,造紙工業類
2027,鋼鐵工業類
2101,橡膠工業類
2204,汽車工業類
2206,汽車工業類
2501,建材營造類
2504,建材營造類
2511,建材營造類
2515,建材營造類
2520,建材營造類
2542,建材營造類
2603,航運業類
2609,航運業類
2610,航運業類
2614,航運業類
2615,航運業類
2618,航運業類
2801,金融保險類
2809,金融保險類
2812,金融保險類
2820,金融保險類
2823,金融保險類
2834,金融保險類
2845,金融保險類
2880,金融保險類
2883,金融保險類
2884,金融保險類
2885,金融保險類
2886,金融保險類
2889,金融保險類
2890,金融保險類
2892,金融保險類
2903,貿易百貨類
2913,貿易百貨類
2915,貿易百貨類
1710,化學工業類
1718,化學工業類
6505,油電燃氣類
2303,半導體業類
2329,半導體業類
2330,半導體業類
2344,半導體業類
2369,半導體業類
2379,半導體業類
2436,半導體業類
2449,半導體業類
2454,半導體業類
2458,半導體業類
2481,半導體業類
3006,半導體業類
3034,半導體業類
3035,半導體業類
3189,半導體業類
6239,半導體業類
6257,半導體業類
2301,電腦及周邊設備業類
2331,電腦及周邊設備業類
2352,電腦及周邊設備業類
2356,電腦及周邊設備業類
2357,電腦及周邊設備業類
2376,電腦及周邊設備業類
2377,電腦及周邊設備業類
2382,電腦及周邊設備業類
2405,電腦及周邊設備業類
2474,電腦及周邊設備業類
3005,電腦及周邊設備業類
3017,電腦及周邊設備業類
2323,光電業類
2340,光電業類
2349,光電業類
2406,光電業類
2426,光電業類
3019,光電業類
3049,光電業類
3406,光電業類
6176,光電業類
6209,光電業類
8105,光電業類
2314,通信網路業類
2345,通信網路業類
2402,通信網路業類
2412,通信網路業類
2419,通信網路業類
2439,通信網路業類
2455,通信網路業類
3045,通信網路業類
3380,通信網路業類
4904,通信網路業類
5388,通信網路業類
6285,通信網路業類
2308,電子零組件業類
2313,電子零組件業類
2316,電子零組件業類
2327,電子零組件業類
2367,電子零組件業類
2368,電子零組件業類
2383,電子零組件業類
2392,電子零組件業類
2456,電子零組件業類
2492,電子零組件業類
3037,電子零組件業類
5469,電子零組件業類
6153,電子零組件業類
6269,電子零組件業類
6282,電子零組件業類
8163,電子零組件業類
8112,電子通路業類
2312,其他電子業類
2371,其他電子業類
9904,其他類
9907,其他類
9945,其他類
