stock code,weights
1102,0.006543693985641786
1216,0.046331036273469746
1301,0.01344334025172868
1303,0.00492786386140767
1305,0.0019310411334869594
1310,0.0016658544565021614
1314,0.0018437335497191905
1326,0.017188889813059407
1409,0.0025319856821685214
1440,0.002189966209261977
1444,0.0022868728041210633
1504,0.007076342707174138
2049,0.001023891938186883
1605,0.0018775479922053088
1609,0.007239691977178076
1909,0.0022354914259742945
2027,0.0019824626731685924
2101,0.0064478274774964605
2204,0.0011296402589819874
2206,0.009220905440597239
2501,0.003681938212024754
2504,0.006394452197912073
2511,0.022306334123572125
2515,0.0035073674622512906
2520,0.00740704625676498
2542,0.002327313362258806
2603,0.0012966098189142775
2609,0.0006671575086315103
2610,0.0037503186379643006
2614,0.0011372380240811915
2615,0.0008466493504022697
2618,0.0015044895982223281
2801,0.03710489120492948
2809,0.0026901225583376705
2812,0.00126099586652663
2820,0.0008606527190179126
2823,0.0015407303205414618
2834,0.0005950454758149431
2845,0.0021343714870187143
2880,0.0031155294127623253
2883,0.002661988265874808
2884,0.0010470850186028921
2885,0.0010345076510815403
2886,0.0013189450116744231
2889,0.0010515825677324011
2890,0.0025042252230650965
2892,0.0018195313512260841
2903,0.003126848320334434
2913,0.019908586731943845
2915,0.003086809028272332
1710,0.0025979934766665437
1718,0.0015218892719992053
6505,0.0008198145901045733
2303,0.0008153067496972558
2329,0.0786154050463239
2330,0.0014153034741780214
2344,0.0009322249349728182
2369,0.0011988627286286667
2379,0.0011158824811485252
2436,0.003463556367580085
2449,0.020122999821064573
2454,0.0009579709819884177
2458,0.0007994860351932073
2481,0.0020313002846240047
3006,0.0031451310651321764
3034,0.0006612731930441606
3035,0.0004887601712343222
3189,0.008349790298984755
6239,0.003982958166062064
6257,0.0028410988786680236
2301,0.003535920788241466
2331,0.0020149806705576766
2352,0.01253200857302148
2356,0.0019137509883779286
2357,0.0014332257189027505
2376,0.004305343516450805
2377,0.008414977759578801
2382,0.0029075500331615673
2405,0.006421507078053842
2474,0.007025280508302666
3005,0.0037412091701105924
3017,0.01330834093311284
2323,0.050799353732132665
2340,0.005002296990347523
2349,0.014164246323780667
2406,0.013380986378513334
2426,0.017022505668459163
3019,0.004417207038478753
3049,0.006204840715166159
3406,0.00346031710278204
6176,0.026275090448751336
6209,0.03127037740947408
8105,0.006857917665348161
2314,0.008364538969331922
2345,0.0018765385016013979
2402,0.0033296102294125916
2412,0.004767285921838487
2419,0.0049249105573696775
2439,0.0010672396818792672
2455,0.00130307747443263
3045,0.0007344990861068494
3380,0.006711527987919593
4904,0.0006867379771741017
5388,0.0019805388786643253
6285,0.07458366315672729
2308,0.0005796956502973234
2313,0.0017747534265530693
2316,0.0019596829664866
2327,0.00037684591002270986
2367,0.08322699223371062
2368,0.0059473984970785515
2383,0.0009624800196187183
2392,0.001304646430363731
2456,0.007592049998726023
2492,0.0011753631739102434
3037,0.0025998174142011447
5469,0.0023854623484620193
6153,0.0019418285715888859
6269,0.0017098572468266387
6282,0.0022340468636042857
8163,0.04030733726527384
8112,0.0008019842992874705
2312,0.0019181863759173406
2371,0.0006296304966745146
9904,0.05162319457992247
9907,0.007984346828194502
9945,0.007540545073132718
